Incident Number,Cause number,Cause Description,Cause type,Risk Management Cause,Human Factors  Cause, Failed PSM Framework Element
CP-05E0194B4E,1,Equipment Failure: Inadequate Equipment Maintenance- The incident would have been prevented had the equipment been maintained by periodically tightening fittings.,Immediate,Inadequate Control Measures,,8
CP-05E0194B4E,2,Human Performance Error- Personnel were not aware of the hazards of loose fittings and the resulting release of and accumulation of gas and the combined hazards associated with backfires.,Underlying,,,3
CP-05E0194B4E,3,Management Systems: No/Inadequate hazard analysis- Personnel failed to identify the hazard associated with gas accumulation in an area where a likely gas engine backfire could occur.,Root,Hazard not Identified,,8
CP-6185519FB7,1,Failure to properly equalize the pressure below and above the DX plug before cutting the tubing contributed directly to the incident.,Immediate,,,
CP-6185519FB7,2,Sand and wireline debris in the DX plug prevented equalizing ports of DX plug from opening and restricted flow of fluids from,Underlying,,,
CP-6185519FB7,3,Failure to properly equalize the pressure below and above the DX plug before cutting the tubing contributed directly to the incident.,Root,,,
CP-21A51CBCFA,1,Improper rigging procedures from side loading of the torque wrench resulted in failure of the eye bolt and the wrench falling to strike the IP on the right hand. Failure of the eye bolt resulted from the load rating of the eye bolt being decreased to 25% at 90 degrees or 30% at 45 degrees.,Immediate,,,
CP-21A51CBCFA,2,Lack of control of the lifting operation since the Job Safety Analysis (JSA) did not detail how to recover the wrench from the Moonpool.,Underlying,,,
CP-21A51CBCFA,3,Hand placement of the IP.,Root,,,
CP-99B5FE53E5,1,Improper wrapping of Panther felt of Zone 4 deluge,Immediate,,,
CP-99B5FE53E5,2,wiring. Firewatch outside of pressurized welding enclosure during 30 minute cool down.,Underlying,,,
CP-F68B93C2BB,1,"The probable cause of the accident was attributed to lack of employee training since the injured Maersk Roustabout was listed as a SSE and he had not received the level of training required to work on the rig floor. In addition, Maersk stated that they made an error in summoning a SSE Roustabout to assist with lift operations on the rig floor.",Immediate,,,
CP-004E1BF2AC,1,"The failed wireline rope socket, and resulting released wireline tool string, was possibly stressed beyond equipment design as a result of multiple impacts with the top drive and shock from the severing tool's downhole explosion.",Immediate,,,8
CP-004E1BF2AC,2,"The close proximity of the upper wireline pulley to the rig top drive caused entanglement and impact problems throughout the wireline operation. This resulted in unnecessary stress to the wireline equipment; e.g., sheaves, wireline, rope socket, etc.",Underlying,,,
CP-4357E9CAB7,1,-The Subsea Engineer proceeded to work on the all pressure had been removed from the lines.,Immediate,,,
CP-94D2604374,1,The 16-inch joint of casing fell from the VDM due to hoisting the joint with the VDM Guides while the VDM Gripper remained open.,Immediate,,,
CP-586DF68FF1,1,"Weld failure, subsea vendor is performing an analysis.",Immediate,,,
CP-586DF68FF1,2,"Weld failure, subsea vendor is performing an analysis.",Underlying,,,
CP-586DF68FF1,3,"Weld failure, subsea vendor is performing an analysis.",Root,,,
CP-0183D1A1BF,1,"Different theories as to the cause of the fire were considered by the W & T Offshore, Inc. investigation team, but all were eliminated by the team with the exception of lightning. According to the Lessee, a great deal of lightning was observed in the area prior to and after the fire. A typical bolt of lightning can result in heat of up to 50,000 degrees Fahrenheit. The strike can carry a current from 10,000 - 24,000 Amps, but can exceed 200,000 Amps at 15,000,000 million to 100 million Volts. MMS Inspectors revisited the platform on April 1, 2025, to determine whether lightning had struck the platform's adjacent crane. The highest objects in the area were the buildings and crane, with the buildings located within 10 feet from the crane. The crane's Gantry is considerably higher than the buildings, and since lightning usually strikes the highest object in the area, no strike to the crane would most likely rule out a lightning strike as a probable cause. MMS Inspectors did not observe any indications that lightning had struck the fire is unknown.",Immediate,,,8
CP-0183D1A1BF,2,Contributing/possible contributing causes of this,Underlying,,,
CP-24132264B3,1,Heat induced cracks found in the electrical control's cooling system allowed water to enter resulting in failure of the electrical devices that controlled the rig's DP system.,Immediate,,,
CP-24132264B3,2,Power demand voltage flucutations affected the DP system's logic electrical controls for thruster operation and performance. This caused an irregular functioning of the breakers for the electrical control's,Underlying,,,
CP-6A8DC9AF27,1,"Human Performance Error – Failure to follow proper procedures The lean glycol suction valve associated with the active, outboard glycol pump remained in the closed position following pump changeover operations, preventing normal glycol circulation through the glycol regeneration system. Failure to verify valve lineup and restore normal circulation conditions following pump changeover activities contributed to upset conditions within the glycol regeneration system and subsequent hydrocarbon release in the vicinity of the glycol reboiler.",Immediate,,,3
CP-6A8DC9AF27,2,"Management Systems – Inadequate written procedures At the time of the incident, no formal documented procedure or checklist existed requiring valve lineup verification following glycol pump changeover operations. The absence of documented valve alignment verification procedures allowed critical valve positioning activities to rely solely upon individual operator actions and informal practices.",Underlying,,,8
CP-D6CA82ECCB,1,"Grinding sparks landed on stored flammable items (i.e. sheets, towels, dry paper goods, aerosol cans, cleaners, etc.) located inside the hot work zone causing ignition of the fire. When workers went on break, the cutting torch was left unaccompanied inside the how work zone with charged fuel and oxygen in the hoses. The torch and hoses were melted and destroyed, allowing a continuous flow of fuel creating a larger fire.",Immediate,,,
CP-D6CA82ECCB,2,1. Personnel did not remain in the work ended.,Underlying,,,
CP-DAA226FBAE,1,"In the instant that Byron King switched open the SSV, he realized his error, and then switched to close the SSV. Grasping the magnitude of the fire, Byron King then left the well control panel, ran down the adjacent stairs and closed the ESD switch located at the lower deck level. The time lag in the activation of the ESD would have been about one and one-half minutes to full closure. The blast of gas out of the open choke body which was about 2 feet above the deck was like a blow torch aimed directly toward the living quarters. The living quarters were constructed of aluminum, and it and its contents were completely destroyed along with the adjacent 2-300 gallon plastic fresh water tank next to the living quarters. No dry chemical system, deluge water system or safety shut down sysem could have saved the living quarters or anything else within the blast flame direction from the choke body within the closing time of the SSV. The 150 pound dry chemical wheeled unit adjacent to the living quarters would not have slowed the blaze. There was no fire wall or shield (such as an A-60 barrier) located between the choke manifold, production equipment, meter runs, and the living quarters.",Immediate,,,
CP-77EC5E32E6,1,HUMAN ERROR: NOT AWARE OF HAZARDS - The IP was unaware of the hazards associated with the work he was performing. The IP did not adhere to manufacturer recommendations while working on the control valve and the PIC and IP did not ensure the gas line was free of pressure before starting work.,Immediate,Hazard not Identified,"Mistake - Information Issue -too little, missing or inaccesible information",3
CP-77EC5E32E6,2,COMMUNICATION: INADEQUATE COMMUNICATION BETWEEN THE OPERATOR AND CONTRACTOR PERSONNEL,Underlying,Inadequate Control Measures,"Mistake - Information Issue -too little, missing or inaccesible information",9
CP-77EC5E32E6,3,"The PIC and contractor (IP) did not communicate prior to the IP starting his work on the 6-inch gas line. Had communication been better, the IP would not have been able to start work without the PIC’s approval.",Root,,,
CP-333C0E1191,1,"Upon investigation it was determined that the cause of the incident was due to several mechanical failures. The boom hoist slipped due to improper band adjustment and an oily residue, which was found on the surface of the brake band. Secondly, the ratchet pawl device was in the open position and exhibited no indication of being engaged. It was determined that the racket pawl tension spring was not connected causing the device not to engage. The ratchet pawl mechanism on the boom hoist, on this type of crane, is present to prevent a loss boom control in the event of a brake failure.",Immediate,,,
CP-985A475390,1,CE held on to the edge of the cabinet allowing his situation. CE understood very little English and may not have dropped. There was no translator on the facility.,Immediate,,,
CP-150683939C,1,"He had previously been tied off properly,but it appears that he tried to take a short-cut, rather than using a ladder 25 1 away, and attempted to span the area between the cable tray and the staircase structure without 3170",Immediate,,,15
CP-150683939C,2,being tied off..A distance of@,Underlying,,,
CP-150683939C,3,"He had previously been tied off properly,but it appears that he tried to take a short-cut, rather than using a ladder 25 1 away, and attempted to span the area between the cable tray and the staircase structure without 3170",Root,,,
CP-5004608A74,1,"Equipment Failure: Inoperable equipment - A sticking relay in a pneumatic panel in the start fuel/ignition circuit allowed the engine to be saturated with unburnt fuel, which caused a backfire upon the second attempt",Immediate,,,15
CP-5004608A74,2,n/a,Underlying,,,
CP-F5A151FC3D,1,", Pressurized fluids were trapped between the flow safety valve and a downstream header block valve. Once the flowline connection was partially opened, the trapped fluids were free to escape. Interviews with wellbay operators indicate that the system does not provide the means by which to bleed down trapped pressure downstream of the flow safety valve.",Immediate,,,
CP-D36DCDB2B7,1,Buildup of sludge and chemical flocking causing process level sensors to give incorrect reading leading to abnormal conditions.,Immediate,,,
CP-D36DCDB2B7,2,Collapsed internal packing clogging and preventing liquid outlet valves of the Skim Tank from fully closing.,Underlying,,,
CP-FFCFEC9F13,1,Overpressure of the pipeline segment resulting in a gasket failure on the departing pipeline riser flange connection,Immediate,,,
CP-FFCFEC9F13,2,Human error by all parties involved which included,Underlying,,,
CP-C45C57A1CF,1,"Failure to achieve complete joint penetration along the circumference of the weld on the ""Pipe Stop Arm""; shallow/thin welding found along fracture weld",Immediate,,,
CP-C45C57A1CF,2,Lap testing of the PSA showed a lack of fusion in the intact welds. Lack of fusion in between the metals of the weld increases the chances of defects and imperfections in the weld roots.,Underlying,,,
CP-219E2BD122,1,"The WPT bladder has a Schrader valve located on the top side of the tank. As per the manufacturer, ""The WPT bladder should be depressurized by utilizing the Schrader valve prior to disassembling any piping or fittings."" This incident could have been prevented if the WPT bladder were depressurized prior to disassembling the discharge piping.",Immediate,,,
CP-219E2BD122,2,There were no manuals from the manufacture located on the facility for the employees to access information needed to disassemble the WPT in a safe manner. The employees stated they were not familiar with the design of the WPT.,Underlying,,,
CP-219E2BD122,3,"A JSA was prepared to change the filters on the fresh water system, but not on the removal of the WPT. If a JSA would have been completed on the removal of the WPT, the depressurizing of the bladder would have been discussed in order to eliminate the hazard.",Root,,,
CP-0799BDD27E,1,A hand tight lifting-sub backed out of its connection,Immediate,,,8
CP-F8EC8FB423,1,Human Error,Immediate,,,
CP-F8EC8FB423,2,Human Error,Underlying,,,
CP-46FB188BB1,1,Equipment failure/Human error,Immediate,,,
CP-46FB188BB1,2,Helicopter at a low level and not able to recover,Underlying,,,
CP-E38FA6EFB8,1,"The crew did not follow proper procedures in transferring mud. While performing the incorrect procedure to transfer mud, the crew misunderstood the positions of the valves plumbed to the Trip Tank. The pit cleaning crew may have locked open the master dump valve for the Trip Tank during cleaning operations, and never put back into its normally closed and locked position.",Immediate,,,
CP-E38FA6EFB8,2,Not verifying the master dump valve for the trip tanks locked in the closed position. Not following the procedures for mud,Underlying,,,
CP-3EAAF529AA,1,Human Error: Placing hand near striking point.,Immediate,, Competency -  Lapse of Competency,3
CP-3EAAF529AA,2,Human Error: Inattention to work being performed.,Underlying,, Competency -  Lapse of Competency,3
CP-E46253EDAD,1,The failure originated in one of six inserts (nut) in the female connector of joint,Immediate,,,
CP-1CE2872E60,1,The valve on the drain line for the seawater side opened.,Immediate,,,
CP-49E8044B52,1,The cause of the spill was an inadvertent loss of pressure on the slip joint packer and was a direct result of human error and failure,Immediate,,,
CP-49E8044B52,2,none,Underlying,,,
CP-E267A319DC,1,The IP did not recognize poor body placement at the,Immediate,,,
CP-683FF38E7B,1,The probable cause of the accident was water from a broken water line to the toilet that came in contact with electrical equipment/circuits.,Immediate,,,
CP-683FF38E7B,2,The possible contributing cause was,Underlying,,,
CP-80C3B52DBD,1,"Lessee failed to perform crane operating practices for attaching and moving the load being utilized in accordance with API RP 2D, paragraphs 3.2.1, 3.2.2 and 3.2.3",Immediate,,,
