Incident Number,Recommendation Number,Recommendation Description,Unmittigated Risk - Score,Unmittigated Risk - Consequence,Unmittigated Risk - Likelihood,Mittigated Risk - Score,Mittigated Risk - Consequence,Mittigated Risk - Likelihood,Agreed Completion Date,Responsible Owner - Name,Responsible Owner - Position
NS-0F1E2D6799,1,Require a second qualified person to independently verify that lifting slings are rated for the calculated load before each pick.,,,,,,,2025-09-23,SYN-b96056,Facility Engineer
NS-BC99657275,1,Require high-visibility outerwear for personnel working near the crane's blind-lift zone.,,,,,,,2025-09-05,SYN-d5c034,Maintenance Supervisor
NS-902934F9C9,1,"Add the still column to the facility's periodic internal-inspection rotation, with a defined maximum interval between inspections.",,,,,,,2025-09-24,SYN-306560,Marine Coordinator
NS-E957DD093F,1,Require hearing protection for personnel working near running cooling fans on control panel enclosures.,,,,,,,2025-12-03,SYN-3d3a4c,Marine Coordinator
NS-02F1D120A1,1,Require a full-face respirator for personnel performing coating removal near non-destructive inspection work.,,,,,,,2025-11-20,SYN-274ae8,Operations Superintendent
NS-02F1D120A1,2,Require supervisors to conduct a documented pre-lift briefing that reviews the rigging plan and load chart before any lift begins.,,,,,,,2025-12-24,SYN-ef9b0a,Maintenance Supervisor
NS-7B812BCFFF,1,Require supervisors to conduct a documented pre-lift briefing that reviews the rigging plan and load chart before any lift begins.,,,,,,,2025-12-11,SYN-ff181c,Operations Superintendent
NS-95631D807D,1,Install gas detection sensors inside the control room to alarm before combustible gas can accumulate.,,,,,,,2025-11-27,SYN-69c710,Facility Engineer
NS-8FFCB3592A,1,"Install a secondary rupture disc downstream of the primary relief device on the compressor discharge cooler, calibrated to activate before the primary device reaches its rated pressure.",,,,,,,2026-01-01,SYN-94c303,Facility Engineer
NS-8FFCB3592A,2,Require a documented hazard and operability review before commissioning any change to the ballast or bilge system.,,,,,,,2026-02-20,SYN-54f0ca,Marine Coordinator
NS-B7A62CF973,1,"Give the compressor blowdown discharge its own dedicated relief path to atmosphere, isolated from other plant piping, so back-pressure from elsewhere cannot reach it.",,,,,,,2026-03-12,SYN-079774,Facility Engineer
